id,followers,genres,name,popularity,img_url_640,img_url_320,img_url_160
6AcOTCYBMvjKYy4zms0kaC,3648976.0,"['banda', 'corrido', 'ranchera', 'regional mexican']",Banda El Recodo,76,https://i.scdn.co/image/ab6761610000e5eb2de8a704feecf3bc5c4bce98,https://i.scdn.co/image/ab676161000051742de8a704feecf3bc5c4bce98,https://i.scdn.co/image/ab6761610000f1782de8a704feecf3bc5c4bce98
2iDzAyq8PM7csdK3BnzcSZ,2471.0,[],Pink Panther,16,https://i.scdn.co/image/ab6761610000e5eb5168e912bd9bd91607cd07dd,https://i.scdn.co/image/ab676161000051745168e912bd9bd91607cd07dd,https://i.scdn.co/image/ab6761610000f1785168e912bd9bd91607cd07dd
0GtBUVp1cWdIUKwm2GHTHc,314231.0,"['j-pop', 'j-poprock', 'j-rock', 'japanese alternative rock']",Chatmonchy,49,https://i.scdn.co/image/ab6761610000e5eb5ae576fde46279ab0d3cfaa3,https://i.scdn.co/image/ab676161000051745ae576fde46279ab0d3cfaa3,https://i.scdn.co/image/ab6761610000f1785ae576fde46279ab0d3cfaa3
7K4bO1W0zaxO3n4OUBeQUA,38.0,['gregorian chant'],Chorale des Pères du Saint-Esprit du Grand Scolasticat de Chevilly,1,https://i.scdn.co/image/ab67616d0000b27300ae26cb9806e53b4a10bb0d,,
4aepVoDyGpCQFx1sfMBJXd,1677.0,[],Georgette Sayagh,14,https://i.scdn.co/image/ab67616d0000b27309a0cfd892e96eac3eb90842,,
6bMul6rmRS03x38tWKYifO,925846.0,"['classic italian pop', 'europop', 'italian adult pop']",883,60,https://i.scdn.co/image/ab67616d0000b273243b73f0b9fd2500f491f5bf,,
7qShKycqNUP0GLEiTENDVZ,104479.0,"['disco', 'post-disco']",Womack & Womack,58,,,
3yiQL6Y61mT9RjKIM65lMH,24408.0,"['musica tradicional cubana', 'son cubano clasico']",Los Compadres,37,https://i.scdn.co/image/ab67616d0000b2737805b0caed74ff2091477b2e,,
4BHjaELJrfmYetVqkdtGYb,225.0,[],林玫君,31,https://i.scdn.co/image/ab67616d0000b2738630717f394fc1fbe3ad2d89,,
2PjgZkwAEk7UTin4jP6HLP,65356.0,"['bebop', 'big band', 'cool jazz', 'jazz', 'stride', 'swing', 'vocal jazz']",Lionel Hampton,44,,,
55llKETqzfRVXim8UpIb2h,1424.0,['bboy'],Esone,20,https://i.scdn.co/image/ab6761610000e5eb878fd69dfc54d6a35017824b,https://i.scdn.co/image/ab67616100005174878fd69dfc54d6a35017824b,https://i.scdn.co/image/ab6761610000f178878fd69dfc54d6a35017824b
5a0etAzO5V26gvlbmHzT9W,693903.0,"['downtempo', 'electronica', 'microhouse']",Nicolas Jaar,59,https://i.scdn.co/image/ab6761610000e5ebff78b7f31e388e0691584213,https://i.scdn.co/image/ab67616100005174ff78b7f31e388e0691584213,https://i.scdn.co/image/ab6761610000f178ff78b7f31e388e0691584213
1Ypa8o8muvDcgOt1YYtcOC,585104.0,"['latin jazz', 'salsa', 'salsa international', 'salsa puertorriquena', 'tropical']",Cheo Feliciano,52,https://i.scdn.co/image/ab6761610000e5eb9870fec68e645703cd7c5f49,https://i.scdn.co/image/ab676161000051749870fec68e645703cd7c5f49,https://i.scdn.co/image/ab6761610000f1789870fec68e645703cd7c5f49
49UAapOfpOg1ZOU4xf2NgY,782475.0,"['italian hip hop', 'italian underground hip hop']",Noyz Narcos,66,https://i.scdn.co/image/ab6761610000e5eb4180158c8a25e7c85f7e3e1f,https://i.scdn.co/image/ab676161000051744180158c8a25e7c85f7e3e1f,https://i.scdn.co/image/ab6761610000f1784180158c8a25e7c85f7e3e1f
